Species	Singleton	Dispersed	Proximal	Tandem	Segmental-WGD
HAELON	21389	19117	3143	2487	0
DERSIL	18919	23056	4130	3007	80
DYSSIL	11796	9075	851	1438	0
ECTDAV	14602	9385	1839	1880	0
ARGBRU	17212	11515	1605	1435	288
TRIANT	12995	9721	1182	1264	0
TRICLA	15057	19165	2452	2014	992
PARTEP	11518	9911	1427	1414	0
LATELE	19879	12504	1340	1267	666
ULODIV	11721	13857	1896	1605	140
OEDGIB	12311	5079	730	954	42
HYLGRA	12678	11853	3091	1782	3027
CARROT	16768	8481	1113	957	2058
TACGIG	25072	12067	2122	2137	3116
