Species	Singleton	Dispersed	Proximal	Tandem	Segmental-WGD
HAELON	23943	13936	3707	4396	154
DERSIL	19236	16008	5729	7137	1082
DYSSIL	11656	8788	905	1734	77
ECTDAV	13646	8466	1936	3304	354
ARGBRU	16037	9067	1859	3941	1151
TRIANT	10341	9708	1403	3130	580
TRICLA	12726	13394	3608	4424	5528
PARTEP	10169	8889	1575	3504	133
LATELE	19159	10634	1571	2383	1909
ULODIV	10982	12310	2384	2358	1185
OEDGIB	10915	5886	800	1419	96
HYLGRA	11589	9124	3405	4264	4049
CARROT	11563	7705	1177	1791	7141
TACGIG	22273	9979	1217	1990	9055
