Species	Singleton	Dispersed	Proximal	Tandem	Segmental-WGD
HAELON	20406	16249	4199	5001	281
DERSIL	16583	17470	6007	7652	1480
DYSSIL	10047	10072	1010	1935	96
ECTDAV	12242	9286	2041	3633	504
ARGBRU	14532	9918	1971	4258	1376
TRIANT	9081	10566	1495	3318	702
TRICLA	10695	14531	3773	4679	6002
PARTEP	8798	9779	1677	3711	305
LATELE	17369	11905	1676	2579	2127
ULODIV	9486	13023	2560	2590	1560
OEDGIB	9905	6551	874	1601	185
HYLGRA	10021	10009	3538	4832	4031
CARROT	10294	8111	1233	2024	7715
TACGIG	20290	10731	1417	2501	9575
