Species	Singleton	Dispersed	Proximal	Tandem	Segmental-WGD
HAELON	20685	20046	2969	2420	16
DERSIL	18142	23939	4031	3000	80
DYSSIL	11037	9754	911	1458	0
ECTDAV	13828	10097	1890	1865	26
ARGBRU	16221	12600	1556	1396	282
TRIANT	11744	10872	1238	1308	0
TRICLA	13790	20540	2449	2059	842
PARTEP	10621	10901	1356	1392	0
LATELE	18894	13506	1334	1269	653
ULODIV	10844	14790	1886	1603	96
OEDGIB	11520	5826	741	985	44
HYLGRA	11788	13104	2963	1777	2799
CARROT	15619	9257	1106	978	2417
TACGIG	23928	12902	2113	2166	3405
